iter	Passed	Remaining
0	133	133370
1	135	67765
2	137	45688
3	138	34580
4	140	28055
5	143	23788
6	144	20545
7	145	18091
8	146	16157
9	147	14603
10	148	13330
11	149	12279
12	149	11370
13	150	10610
14	152	10003
15	153	9427
16	153	8901
17	154	8439
18	155	8016
19	155	7634
20	156	7298
21	157	6985
22	157	6702
23	158	6443
24	159	6206
25	159	5982
26	160	5779
27	160	5588
28	161	5409
29	162	5244
30	162	5089
31	163	4943
32	164	4806
33	164	4678
34	165	4561
35	166	4459
36	167	4355
37	168	4253
38	168	4154
39	169	4064
40	169	3974
41	170	3893
42	171	3814
43	172	3739
44	172	3665
45	173	3594
46	174	3530
47	174	3465
48	175	3407
49	176	3348
50	177	3302
51	178	3249
52	178	3197
53	179	3148
54	181	3112
55	182	3069
56	182	3025
57	183	2984
58	184	2943
59	185	2902
60	186	2863
61	186	2824
62	187	2787
63	188	2749
64	188	2714
65	189	2682
66	190	2650
67	191	2621
68	191	2589
69	192	2558
70	193	2528
71	193	2499
72	195	2476
73	195	2451
74	196	2427
75	197	2400
76	198	2374
77	198	2350
78	199	2326
79	200	2301
80	200	2278
81	201	2254
82	201	2229
83	202	2208
84	203	2187
85	203	2167
86	204	2146
87	205	2129
88	206	2109
89	206	2091
90	207	2075
91	208	2057
92	209	2040
93	210	2029
94	211	2014
95	212	1998
96	213	1983
97	213	1967
98	214	1950
99	215	1936
100	215	1921
101	216	1906
102	217	1891
103	217	1878
104	218	1864
105	219	1850
106	220	1838
107	220	1824
108	221	1811
109	222	1798
110	222	1785
111	223	1773
112	224	1761
113	225	1755
114	227	1747
115	227	1737
116	228	1726
117	229	1715
118	230	1704
119	231	1694
120	231	1683
121	232	1672
122	233	1662
123	234	1653
124	234	1644
125	235	1635
126	236	1624
127	237	1615
128	237	1606
129	238	1597
130	239	1587
131	240	1582
132	241	1576
133	242	1569
134	243	1561
135	244	1554
136	245	1546
137	246	1538
138	247	1531
139	247	1523
140	248	1516
141	249	1506
142	249	1497
143	250	1490
144	251	1483
145	252	1475
146	252	1467
147	253	1460
148	254	1454
149	255	1449
150	256	1444
151	257	1437
152	258	1430
153	259	1423
154	259	1416
155	260	1410
156	261	1404
157	262	1398
158	263	1392
159	264	1386
160	264	1378
161	265	1373
162	266	1367
163	267	1363
164	268	1357
165	268	1350
166	270	1350
167	272	1347
168	273	1342
169	274	1338
170	275	1333
171	275	1327
172	276	1322
173	277	1317
174	278	1312
175	279	1307
176	280	1304
177	281	1300
178	282	1295
179	283	1291
180	284	1289
181	286	1285
182	287	1282
183	288	1278
184	289	1273
185	290	1269
186	290	1265
187	291	1260
188	293	1258
189	294	1253
190	295	1249
191	296	1245
192	296	1241
193	297	1237
194	298	1233
195	300	1233
196	301	1229
197	302	1226
198	303	1222
199	304	1219
200	305	1215
201	306	1212
202	307	1208
203	308	1205
204	309	1202
205	310	1197
206	311	1194
207	312	1190
208	314	1189
209	315	1188
210	316	1184
211	317	1181
212	318	1177
213	319	1174
214	320	1170
215	321	1167
216	322	1163
217	323	1160
218	324	1155
219	325	1152
220	325	1148
221	326	1145
222	327	1142
223	329	1141
224	330	1140
225	331	1136
226	332	1133
227	333	1130
228	334	1127
229	335	1124
230	336	1120
231	337	1117
232	338	1114
233	339	1111
234	340	1108
235	341	1105
236	342	1101
237	343	1100
238	345	1098
239	346	1096
240	347	1093
241	348	1090
242	349	1087
243	350	1084
244	351	1082
245	352	1079
246	353	1077
247	354	1075
248	355	1072
249	356	1070
250	358	1069
251	359	1068
252	361	1066
253	362	1064
254	363	1061
255	364	1059
256	365	1057
257	367	1055
